Actual Cap Rate,Age,Asking Price,Assessed Improved,Assessed Land,Assessed Value,Assessed Year,Bldg SF,Building Class,Building Condition,Building Materials,Buyer (True) Address,Buyer (True) City,Buyer (True) Company,Buyer (True) Contact,Buyer (True) Phone,Buyer (True) Post-Direction,Buyer (True) Pre-Direction,Buyer (True) State,Buyer (True) Street Name,Buyer (True) Street Number,Buyer (True) Zip Code,Buyer Address,Buyer City,Buyer Company,Buyer Contact,Buyer Phone,Buyer State,Buyer Street Name,Buyer Street Number,Buyer Street Post-Direction,Buyer Street Pre-Direction,Buyer Zip Code,Buyers Broker Address,Buyers Broker Agent First Name,Buyers Broker Agent Last Name,Buyers Broker City,Buyers Broker Company,Buyers Broker Phone,Buyers Broker State,Buyers Broker Street Name,Buyers Broker Street Number,Buyers Broker Street Post-Direction,Buyers Broker Street Pre-Direction,Buyers Broker Zip Code,Ceiling Height,Comp ID,Comps Number,Corner,Coverage,Description Text,Document Number,Down Payment,Fire Sprinkler,First Trust Deed Balance,First Trust Deed Lender,First Trust Deed Payment,First Trust Deed Terms,Floor Area Ratio,Frontage,GIM,GRM,Gross Income,Improvement Ratio,Land Area AC,Land Area SF,Land Improvements,Land SF Gross,Land SF Net,Latitude,Legal Description,Listing Broker Address,Listing Broker Agent First Name,Listing Broker Agent Last Name,Listing Broker City,Listing Broker Company,Listing Broker Phone,Listing Broker State,Listing Broker Street Name,Listing Broker Street Number,Listing Broker Street Post-Direction,Listing Broker Street Pre-Direction,Listing Broker Zip Code,Loading Docks,Longitude,Lot Dimensions,Map Code,Map Page,Map X,Map Y,Market,Market Time,Multi-Sale Name,Net Income,Non-Arms Length Reasons,Number Of 1 Bedrooms,Number Of 2 Bedrooms,Number Of 3 Bedrooms,Number Of Floors,Number Of Other Bedrooms,Number Of Parking Spaces,Number Of Rooms,Number Of Studios,Number Of Tenants,Number Of Units,One Bedroom Mix,Other Mix,Parcel Number 1,Parcel Number 2,Parking Ratio,Percent Office,Portfolio City,Portfolio County,Portfolio Name,Portfolio State,Portfolio Zip,Power,Price Per AC Land,Price Per AC Land Net,Price Per Room,Price Per SF,Price Per SF (Net),Price Per SF Land,Price Per SF Land Net,Price Per Unit,Pro Forma Cap Rate,Property Address,Property City,Property County,Property Name,Property State,Property Street Name,Property Street Number,Property Street Post-Direction,Property Street Pre-Direction,Property Zip Code,PropertyType,Proposed Use,Publication Date,Rail Served,Recording Date,Research Completed Date,Research Status,Roof Type,Sale Condition,Sale Date,Sale Price,Sale Price Comment,Sale Status,Second Trust Deed Balance,Second Trust Deed Lender,Second Trust Deed Payment,Second Trust Deed Terms,Secondary Type,Seller (True) Address,Seller (True) City,Seller (True) Company,Seller (True) Contact,Seller (True) Phone,Seller (True) Post-Direction,Seller (True) Pre-Direction,Seller (True) State,Seller (True) Street Name,Seller (True) Street Number,Seller (True) Zip Code,Seller Address,Seller City,Seller Company,Seller Contact,Seller Phone,Seller State,Seller Street Name,Seller Street Number,Seller Street Post-Direction,Seller Street Pre-Direction,Seller Zip Code,Size,Stamp,Star Rating,Studio Mix,Submarket Cluster,Submarket Code,Submarket Name,Tenancy,Three Bedroom Mix,Title Company,Total Expense Amount,Transaction Notes,Transfer Tax,Two Bedroom Mix,Typ Flr (SF),Units Per Acre,Vacancy,Year Built,Zoning
,52,750000,334810,565190,900000,,91335,B,,,,,,,,,,,,,,,,Ronnie Luong,,,,,,,,,"15455 Dallas Pky, 400",George,Tanghongs,Addison,Lee & Associates,9729344000,TX,Dallas Pky,15455,,,75001,"16'0""",2218568,,,0.484800713,,,,,,,,,0.484800713,,,,,37,4.33,188397,,,,32.9105612,,"15455 Dallas Pky, 400",Nathan,Denton,Addison,Lee & Associates,9729344000,TX,Dallas Pky,15455,,,75001,7,-96.6734877,,18-DZ,18,D,Z,Dallas/Ft Worth,147,,,,,,,1,,100,,,1,,,,263757000A02R0000,,1.1,3.503586,,,,,,Y,126011.56,,,5.97,5.97,2.89,,,,315 S International Rd,Garland,Dallas,,TX,International Rd,315,S,S,75042,Industrial,,12/2/2011,,,12/23/2011,Research Complete,,REO Sale,11/29/2011,545000,Confirmed,Sold,,,,,Warehouse,2720 W 7th St,Fort Worth,American National Bank of Texas,David Alford,8177311444,,W,TX,7th St,2720,76107,2720 W 7th St,Fort Worth,American National Bank of Texas,,8177311444,TX,7th St,2720,,W,76107,91335,,3 Star,,Northeast Dallas Ind,GTK,NE Dallas/Garland Ind,Single,,,23231.07,"A party deemed reliable confirmed the address, square footage, sale price and sale date. A party deemed reliable confirmed the closing of this sale and the information contained in this report; however, we were unable to locate a transfer deed. When the deed is available, the document number will be updated.",,,91335,,,1962,Industrial
,27,535000,,,,,8074,C,Good,,614 Royal Oaks Dr,Friendswood,Ernest Speed,Ernest Speed,2819934836,,,TX,Royal Oaks Dr,614,77546,614 Royal Oak Dr,Friendswood,Abrams Street Management LLC,,,TX,Royal Oak Dr,614,,,77546,,,,,,,,,,,,,"42'0""",2540961,,Yes,0.210633413,,D212206535,,None,620000,Citizens Bk,,,0.240556193,,,,,,0.88,38332,,,,32.736402,,"1450 Hughes Rd, 100",Philip,Samples,Grapevine,"Alliance Commercial Real Estate Group, Inc.",8176639000,TX,Hughes Rd,1450,,,76051,None,-97.05418,,84-LF,84,L,F,Dallas/Ft Worth,545,,,,,,,1,,50,,,1,,,,6148115,,6.73,,,,,,,,607954.55,,,66.26,66.26,13.96,,,,3028 E Abram St,Arlington,Tarrant,,TX,Abram St,3028,E,E,76010,Industrial,,8/27/2012,,,10/24/2012,Research Complete,,,8/20/2012,535000,Confirmed,Sold,,,,,,,,,,,,,,,,,3028 E Abram St,Arlington,Larry Hamilton,,8176405007,TX,Abram St,3028,,E,76010,8074,,2 Star,,Great SW/Arlington Ind,GTD,Lower Great Southwest Ind,Single,,,11991.08,"The buyer and seller prefer to keep this information confidential. The property did sell, and some detials were verified with someone deemed as a reliable source.",,,8074,,,1987,B; Arlington
,32,,326170,69690,395860,2012,17400,C,,Metal,1411 Perry St,Irving,Main Auction Services,Francois Faucon,9725794612,,,TX,Perry St,1411,75060,1718 W Main St,Grand Prairie,"Valtex Properties, LLC",,,TX,Main St,1718,,W,75050,,,,,,,,,,,,,"14'0""",2802053,,,0.399449036,,20130237722,,Yes,420000,"JP Morgan Chase Bank, N.A.",,,0.420477502,,,,,82,1,43560,,,,32.81354,,"2101 Cedar Springs Rd, 900",Pete,Richardson,Dallas,"Cushman & Wakefield of Texas, Inc.",9726639600,TX,Cedar Springs Rd,2101,,,75201,None,-96.928427,,31B-ZD,31B,Z,D,Dallas/Ft Worth,74,,,,,,,1,,15,,,,,,,3.22105E+16,,0.86,14.367816,,,,,,,525000,,,30.17,30.17,12.05,,,,1411 Perry St,Irving,Dallas,,TX,Perry St,1411,,,75060,Industrial,,7/30/2013,,7/29/2013,9/20/2013,Research Complete,,,7/26/2013,525000,Confirmed,Sold,,,,,Showroom,14 Chase Dr,Santa Barbara,Barret W. Hilzer,Barret Hilzer,8059666506,,,CA,Chase Dr,14,93108,14 Chase Dr,Santa Barbara,Hilzer Family Trust,,8059666506,CA,Chase Dr,14,,,93108,17400,,2 Star,,South Stemmons Ind,GUI,West Brookhollow Ind,Multi,,,,"Hilzer Family Trust sold the property at 1411 Perry Street to Valtex Properties, LLC on July 26th, 2013 for $525,000. Pete and Drew Richardson of Cushman & Wakefield of Texas, Inc. represented the seller in the transaction. The buyer purchased the property for the purpose of opening an additional facility for their company - Main Auction Services. Main Auction already had locations in Dallas and Houston, and are expanding their operations to Irving with this acquisition. The property is a 17,400 SF building which will be used as a show space and auction floor. Main Auction buys and sells new and used restaurant equipment, and is slated to begin auctions at the new location in late September 2013.",,,17400,,,1982,ML20
,28,560000,449830,67170,517000,2012,11430,B,,Masonry,,,,,,,,,,,,,,Near Future,,,,,,,,,"1431 Greenway Dr, 350",Jeremy,Mercer,Irving,Mercer Company,2146307010,TX,Greenway Dr,1431,,,75038,"18'0""",2721582,,,0.255259279,,20130108926,,None,461800,Seacoast Commerce Bank,,,0,,,,,87,0.51,22389,,,,32.8982027,,"4851 Lyndon B Johnson Fwy, 1000",Stephen,Cooper,Dallas,NAI Robert Lynn,2142567100,TX,Lyndon B Johnson Fwy,4851,,,75244,None,-96.6930472,,28-FD,28,F,D,Dallas/Ft Worth,440,,,,,,,2,,19,,,,,,,008059003A0011100,,1.66,,,,,,,,1021400.78,,,45.93,45.93,23.45,,,,10833 Alder Cir,Dallas,Dallas,,TX,Alder Cir,10833,,,75238,Industrial,,4/16/2013,,,4/18/2013,Research Complete,,,4/14/2013,525000,Confirmed,Sold,177600,Seacoast Commerce Bank,,,Warehouse,,,,,,,,,,,,,,IBF Alder,,,,,,,,,11430,,3 Star,,Northeast Dallas Ind,GTK,NE Dallas/Garland Ind,Single,,,,"It has been reported that the property at 10833 Alder Cir in Dallas, TX has sold as of 4/14/2013. The 11,430Sf industrial building sold $525,000. The seller was an IBF Alder. They were represented by Stephen Cooper of NAI Robert Lynn. The new owner is Near Future. They were represented by Jeremy Mercer of Mercer Company. No special sale conditions to report at this time.",,,5715,,,1986,IR
,34,625000,281200,139620,420820,2011,13600,B,,Masonry,,,,,,,,,,,,"365 S Park Ridge Rd, 101",Bloomington,Summit Partners,,,IN,Park Ridge Rd,365,,S,47401,"4851 Lyndon B Johnson Fwy, 1000",Stephen,Cooper,Dallas,NAI Robert Lynn,2142567100,TX,Lyndon B Johnson Fwy,4851,,,75244,"18'0""-20'0""",2218671,,,0.291789139,,2.011E+11,,Yes,,,,,0.291789139,,,,,66,1.07,46609,,,,32.8964631,,"14643 N Dallas Pky, 1000",J.T.,Walker,Dallas,Mohr Partners International,9722390394,TX,Dallas Pky,14643,,N,75254,4,-96.7080439,,27-HD,27,H,D,Dallas/Ft Worth,581,,,,,,,1,,30,,,,,,,7.87062E+11,,1.79,,,,,,,,481308.41,,,37.87,37.87,11.05,,,,10863 Rockwall Rd,Dallas,Dallas,,TX,Rockwall Rd,10863,,,75238,Industrial,,12/2/2011,,,12/7/2011,Research Complete,,,12/2/2011,515000,,Sold,,,,,Distribution,10863 Rockwall Rd,Dallas,Hisco,Merle Tanner,2143438730,,,TX,Rockwall Rd,10863,75238,10863 Rockwall Rd,Dallas,Hisco,,2143438730,TX,Rockwall Rd,10863,,,75238,13600,,2 Star,,Northeast Dallas Ind,GTK,NE Dallas/Garland Ind,Single,,,11616.24,"A source deemed reliable verified the sale date, sale price and square footage. The contract time was 90 days. There was $10,000 of deferred maintenance that the buyer was going to be responsible for after purchase. This was an owner/user purchase. The seller's motivation was relocation and expansion. The seller will lease the new location.",,,13600,,,1980,IR
,55,555000,,,,2011,15000,B,,Masonry,,,,,,,,,,,,,,Carter-Diplomacy LLC,,,,,,,,,"2607 Walnut Hill Ln, 101",Bill,Melton,Dallas,Warehouse Properties,2146347777,TX,Walnut Hill Ln,2607,,,75229,"16'0""",2556517,,,0.4426215,,,,None,,,,,0.795449851,,,,,,0.78,33889,,,,32.8171907,,"1431 Greenway Dr, 350",Jeremy,Mercer,Irving,Mercer Company,2146307010,TX,Greenway Dr,1431,,,75038,2,-96.892904,,32-VD,32,V,D,Dallas/Ft Worth,150,,,,,,,1,,18,,,1,,,,7.79281E+11,,1.2,10,,,,,,,655526.99,,,34,34,15.05,,,,9023-9027 Diplomacy Row,Dallas,Dallas,Goodier Company Incorportated,TX,Diplomacy Row,9023,,,75247,Industrial,,9/17/2012,,,10/22/2012,Research Complete,,,9/17/2012,510000,Confirmed,Sold,,,,,Distribution,9019 Premier Row,Dallas,Goodier Realty Inc,,,,,TX,Premier Row,9019,75247,2025 Normandy Dr,Irving,Berlin Printing & Office Suppl,,2146880561,TX,Normandy Dr,2025,,,75060,15000,,2 Star,,South Stemmons Ind,GUI,West Brookhollow Ind,Single,,,,"It has been reported that the property at 9023-9027 Diplomacy Row in Dallas, TX has sold as of 9/17/2012. The 15,000SF industrial building sold for $510,000. The seller was a Berlin Printing Office Supply. They were represented by Jeremy Mercer of Mercer Company. The new owner is Carter-Diplomacy LLC. They were represented by Bill Melton of Warehouse Properties. No special sale conditions to report. Documents will be attached as they become available.",,,15000,,,1959,IR
,52,545000,380120,119880,500000,2012,18150,C,,Metal,4242 Harry Hines Blvd,Dallas,Cowboy Auto Sales,Behzad Basirat,2143155966,,,TX,Harry Hines Blvd,4242,75219,4242 Harry Hines Blvd,Dallas,"Cowboy Auto Leasing, Inc.",,,TX,Harry Hines Blvd,4242,,,75219,,,,,,,,,,,,,"12'0""-16'0""",2732186,,,0.527432291,,20130137601,,Yes,524100,Seacoast Commerce Bank,,,0.527432291,,,,,76,0.79,34412,,,,32.868005,,"15455 Dallas Pky, 400",Nathan,Denton,Addison,Lee & Associates,9729344000,TX,Dallas Pky,15455,,,75001,None,-96.888678,,23-SD,23,S,D,Dallas/Ft Worth,550,,,,,,,1,,25,,,,,,,6.00913E+11,,1.37,6.61157,,,,,,,632911.39,,,27.55,27.55,14.53,,,,2622 Myrtle Springs Ave,Dallas,Dallas,,TX,Myrtle Springs Ave,2622,,,75220,Industrial,,4/30/2013,,5/2/2013,7/11/2013,Research Complete,,,4/26/2013,500000,Confirmed,Sold,,,,,Warehouse,2622 Myrtle Springs Ave,Dallas,Texas Pride Landscape,Richard Williams,9723947202,,,TX,Myrtle Springs Ave,2622,75220,1461 Lemay Dr,Carrollton,"Myrtle Springs Warehouse Investments, LLC",,,TX,Lemay Dr,1461,,,75007,18150,,2 Star,,South Stemmons Ind,GT2,East Hines North Ind,Multi,,Lawyers Title,,"Myrtle Springs Warehouse Investments, LLC sold the property to Cowboy Auto Leasing, Inc. on April 26th, 2013. The sale was for the 18,150 SF industrial property at 2622 Myrtle Springs Avenue in Dallas, built in 1962. The building is made up of primarily industrial/warehouse space with 1,200 SF built-out as office. The clear height ranges between 12 and 16 feet, with 7 grade level doors. The buyer purchased the property to occupy it with their business. Lee & Associates represented the seller in the transaction. The buyer represented themselves. There were no noted sales conditions.",,,18150,,,1962,IR
,37,525000,200530,76080,276610,2012,12000,B,,Metal,"4700 Irving Blvd, 200",Dallas,Trans Freight Inc,Kuldeep Mattu,2146313838,,,TX,Irving Blvd,4700,75247,"4700 Irving Blvd, 200",Dallas,"Mattu Enterprises, LLC",,,TX,Irving Blvd,4700,,,75247,"1431 Greenway Dr, 350",Jeremy,Mercer,Irving,Mercer Company,2146307010,TX,Greenway Dr,1431,,,75038,"16'0""",2920660,,Yes,0.275482094,,2.013E+11,,None,,,,,0.275482094,236 feet on Sea Harbor,,,,72,1,43560,,,,32.775186,,"8201 Preston Rd, 300",Taylor,Mitcham,Dallas,Bates & Myers,2146307077,TX,Preston Rd,8201,,,75225,None,-96.921732,182x236,42-ND,42,N,D,Dallas/Ft Worth,233,,,,,,,1,,20,,,,,,,6.975E+11,,1.67,,,,,,,,500000,,,41.67,41.67,11.48,,,,2606 Sea Harbor Rd,Dallas,Dallas,,TX,Sea Harbor Rd,2606,,,75212,Industrial,,12/30/2013,,12/27/2013,1/9/2014,Research Complete,,,12/27/2013,500000,Confirmed,Sold,,,,,Warehouse,5108 Airport Fwy,Haltom City,Equipment Depot,Donald Moes,8178348841,,,TX,Airport Fwy,5108,76117,12 Club Estates,Waco,M Butte Ltd,,,TX,Club Estates,12,,,76710,12000,,2 Star,,South Stemmons Ind,GUN,Western Lonestar/Tpke Ind,Single,,,,"This 12,000 square foot industrial building was sold for an undisclosed amount. A single tenant in in place offering this as an investment purchase. A cap rate is not available. No other sale conditions were noted.Price was confirmed at $500,000.",,,12000,,,1977,IR
,51,577125,,,,,12825,C,,Masonry,1637 N Warson Rd,Creve Coeur,Western Construction Group,Tim Diehl,3144276733,,N,MO,Warson Rd,1637,63132,,,Dallas Branch LLC,,,,,,,,,"14800 Quorum Dr, Suite 330",Christopher,Fleeger,Dallas,"Morrow Hill, LLC",9724846646,TX,Quorum Dr,14800,,,75254,"12'0""",2538311,,,0.41727672,,,,None,,,,,0.444672198,,,,,,0.71,30735,,,,32.8863661,,"2001 Ross Ave, 2800",Seth,Koschak,Dallas,"Stream Realty Partners, L.P.",2142670400,TX,Ross Ave,2001,,,75201,2,-96.6762482,,28-MD,28,M,D,Dallas/Ft Worth,628,,,,,,,1,,,,,1,,,,2.62955E+16,,,,,,,,,,680272.11,,,37.43,37.43,15.62,,,,2601 Industrial Ln,Garland,Dallas,,TX,Industrial Ln,2601,,,75041,Industrial,,8/22/2012,,,9/12/2012,Research Complete,,REO Sale,8/20/2012,480000,Confirmed,Sold,,,,,Distribution,4555-4563 W Walnut St,Garland,United Central Bank,Roy Kim,9724857200,,W,TX,Walnut St,4555,75042,4555-4563 W Walnut St,Garland,United Central Bank,,9724857200,TX,Walnut St,4555,,W,75042,12825,,2 Star,,Northeast Dallas Ind,GTK,NE Dallas/Garland Ind,Single,,,8421.97,"A source deemed reliable confirmed buyer, seller, RBA of 12,825 sf, sale date of 08/20/12 and sale price of $480,000. It was reported the buyer will use this property dba Western Waterproofing. It was reported property was vacant for one year prior to sale. This was a REO sale.",,,12825,,,1963,"MI, Garland"
,41,623392,304850,75030,379880,2012,13552,C,,,"11501-11567 Hillguard Rd, 11537",Dallas,Commercial Upholstery of Texas Inc,,2142217700,,,TX,Hillguard Rd,11501,75243,"11501-11567 Hillguard Rd, 11537",Dallas,Commercial Upholstery of Texas Inc,,2142217700,TX,Hillguard Rd,11501,,,75243,1400 Dallas Dr,Carl,Sprock,Denton,Scott Brown Commercial,9403201200,TX,Dallas Dr,1400,,,76205,"16'0""",2801724,,,0.451552712,,20130228871,,None,399500,The American National Bank of Texas,,,0.451552712,,,,,80,0.69,30012,,,,32.8976404,,"1431 Greenway Dr, 350",Matt,Spellman,Irving,Mercer Company,2146307010,TX,Greenway Dr,1431,,,75038,1,-96.6847101,100x300,28-GD,28,G,D,Dallas/Ft Worth,398,,,,,,,1,,17,,,,,,,2.61645E+16,,2.19,59.031877,,,,,,,682148.04,,,34.68,34.68,15.66,,,,3601 Security St,Garland,Dallas,Celect Circuits,TX,Security St,3601,,,75042,Industrial,,7/29/2013,,7/19/2013,7/29/2013,Research Complete,,,7/18/2013,470000,Confirmed,Sold,,,,,Distribution,3601 Security St,Garland,"Celect Circuits, Incorporated",,,,,TX,Security St,3601,75042,3601 Security St,Garland,"Celect Circuits, Incorporated",,,TX,Security St,3601,,,75042,13552,,2 Star,,Northeast Dallas Ind,GTK,NE Dallas/Garland Ind,,,,,"It has been reported that the property at 3601 Security St. in Garland, TX has sold as of 7/18/2013. The property sold for $470,000. The seller was a Celect Circuits, Incorporated. They were represented by Matt Spellman of Mercer Company. The new owner is Commercial Upholstery of Texas Inc. They were represented by Carl Sprock of Scott Brown Commercial. It is unknown at this time what the new owner plans on doing with the property. No special sale conditions to report at this time.",,,13552,,,1973,"MI, Garland"
,49,520000,221210,64800,286010,,11956,C,,Masonry,,,,,,,,,,,,5964 Meletio Ln,Dallas,Dal Luf Partners Ltd,,,TX,Meletio Ln,5964,,,75230,,,,,,,,,,,,,"12'0""",2859894,,,0.548943985,,20130321094,,None,,,,,0.661065197,,,,,77,0.5,21780,,,,32.878901,,"1431 Greenway Dr, 350",Ryan,Boozer,Irving,Mercer Company,2146307010,TX,Greenway Dr,1431,,,75038,2,-96.880573,,23-PD,23,P,D,Dallas/Ft Worth,721,,,,,,,1,,15,,,1,,,,5.97433E+11,,1.25,,,,,,,N,920000,,,38.47,38.47,21.12,,,,2914 Ladybird Ln,Dallas,Dallas,,TX,Ladybird Ln,2914,,,75220,Industrial,,10/11/2013,,10/11/2013,12/12/2013,Research Complete,,,10/11/2013,460000,Confirmed,Sold,,,,,Warehouse,"2500 N Dallas Pky, 220",Plano,Randy Heady & Company Realtors,Randy Heady,9726611606,,N,TX,Dallas Pky,2500,75093,5323 Spring Valley Rd,Dallas,Vintage Equities Inc,,,TX,Spring Valley Rd,5323,,,75254,11956,,1 Star,,South Stemmons Ind,GT2,East Hines North Ind,Single,,,,"It has been reported that the property at 2914 Ladybird Ln in Dallas, TX has sold as of 10/11/2013. The 11,956Sf industrial property sold for an unconfirmed price. The seller was Vintage Equities Inc. They were represented by Ryan Boozer of Mercer Company. The new owner is Dal Luf Partners Ltd. It is unknown at this time if they had a buyer to represent them in the transaction. No special sale conditions to report at this time.",,,11956,,,1965,LI
,41,515000,326790,138210,465000,2011,14080,C,,Reinforced Concrete,"555 N 5th St, 113",Garland,Jay Jones Realty,Jay Jones,2145352850,,N,TX,5th St,555,75040,"555 N 5th St, 113",Garland,Jay Jones Realty,,2145352850,TX,5th St,555,,N,75040,,,,,,,,,,,,,"14'0""",2287761,,,0.409159595,,,,None,,,,,0.409159595,,,,,70,0.79,34412,,,,32.8949133,,"2100 McKinney Ave, 700-900",Michael,Chiocca,Dallas,CBRE,2149796100,TX,McKinney Ave,2100,,,75201,None,-96.684052,138x250,28-GD,28,G,D,Dallas/Ft Worth,305,,,,,,,1,,20,,,,,,,2.62815E+16,,1.42,28.977273,,,,,,,569620.25,,,31.96,31.96,13.08,,,,3525-3529 W Miller Rd,Garland,Dallas,,TX,Miller Rd,3525,W,W,75041,Industrial,,4/4/2012,,,4/20/2012,Research Complete,,"1031 Exchange, Distress Sale",3/20/2012,450000,Confirmed,Sold,,,,,Distribution,3525 W Miller Rd,Garland,3525 Associates,Beaver Raymond,2143277972,,W,TX,Miller Rd,3525,75041,3525 W Miller Rd,Garland,3525 Associates,,2143277972,TX,Miller Rd,3525,,W,75041,14080,,2 Star,,Northeast Dallas Ind,GTK,NE Dallas/Garland Ind,Multi,,,12049.89,"From sources deemed reliable close to the transaction. The building is 14,080 square feet on a .79 acre parcel. The property sales price was $450,000. No conditions effected the final price. The seller used broker representation where as the buyer did not. This sales was a distress sale as the seller's investment group was disolving. This purchase was also a 1031 exchange for the buyer. Property was vacant at the time of sale. Property is back on the market for sale and for lease.",,,14080,,,1973,MI
,49,450000,306750,84070,390820,2012,12396,C,,Masonry,,,Showtech Productions,,,,,,,,,,,KP-Argon,,,,,,,,,"2221 E Lamar Blvd, 170",Brian,Gilchrist,Arlington,CBRE,8179874400,TX,Lamar Blvd,2221,,E,76006,"14'0""",2704072,,,0.369577532,"* +/- 12,396 Total SF * +/- 1,500 SF office * +/- 14' Clear Height * 4 Dock High Doors * Sprinklered * Situated on +/- 33,628 SF of land",20130084151,,Wet,360000,Frost Bank,,,0.397871262,,,,,78,0.77,33541,,,,32.812705,,"1431 Greenway Dr, 350",Jeremy,Mercer,Irving,Mercer Company,2146307010,TX,Greenway Dr,1431,,,75038,4,-96.881716,,33-WD,33,W,D,Dallas/Ft Worth,252,,,,,,,1,,25,,,,,,,7.6615E+11,,2.02,12.100678,,,,,,,582693.51,,,36.2,36.2,13.38,,,,3811 Halifax St,Dallas,Dallas,,TX,Halifax St,3811,,,75247,Industrial,,3/20/2013,,,3/29/2013,Research Complete,,,3/27/2013,448674,Confirmed,Sold,,,,,Distribution,,,,,,,,,,,,,La Habra,William L Thunell Family Trust,,,CA,,,,,90633,12396,,1 Star,,South Stemmons Ind,GUI,West Brookhollow Ind,Multi,,,,"It has been reported that the property at 3811 Halifax St. in Dallas, TX has sold as of 3/27/2013. The 12,396Sf industrial building sold for$448,674. The seller was a William L Thunell Family Trust. They were represented by Jeremy Mercer of Mercer Company. The new owner is KP-Argon. They were represented by Brian Gilchrist of CBRE. No special sale conditions to report at this time.",,,12396,,,1965,IR
,44,495000,,,,2011,11770,C,,Metal,3323 Scarlet Oak Ct,Farmers Branch,Robert M & Lori R Choate,Robert Choate,9724882030,,,TX,Scarlet Oak Ct,3323,75234,3323 Scarlet Oak Ct,Farmers Branch,Robert M & Lori R Choate,,9724882030,TX,Scarlet Oak Ct,3323,,,75234,"4300 Sigma Rd, 100",Eric,Morgan,Dallas,Capstone Commercial,9722505800,TX,Sigma Rd,4300,,,75244,"14'0""-16'0""",2241293,,,0.435812937,,,,None,,,,,0.441144888,,,,,,0.62,27007,,,,32.901406,,"1431 Greenway Dr, 350",Ryan,Boozer,Irving,Mercer Company,2146307010,TX,Greenway Dr,1431,,,75038,2,-96.903318,,22-CD,22,C,D,Dallas/Ft Worth,136,,,,,,,1,,15,,,2,,,,6.04307E+11,,1.27,12.744265,,,,,,,711290.32,,,37.47,37.47,16.33,,,,2276 Larson Ln,Dallas,Dallas,,TX,Larson Ln,2276,,,75229,Industrial,,1/12/2012,,,1/20/2012,Research Complete,,,12/16/2011,441000,Confirmed,Sold,,,,,Distribution,,,,,,,,,,,,,,Old World Granite & Stone LLC,,,,,,,,,11770,,2 Star,,Northwest Dallas Ind,GTJ,N Stemmons/Valwood Ind,Multi,,,12626.17,"It has been reported that the property at 2276 Larson Ln in Dallas, TX has sold as of 12/16/2011. The 11,770SF Industrial building sold for $441,000. The seller was Old World Granite. They were represented by Ryan Boozer of Mercer Company. The new owner is Robert Choate. He was represented by Eric Morgan at Capstone. It is unknown at this time what the new owner plans on doing with the property. No special Sale conditions to report. Documents will be attached as they become available",,,11770,,,1970,IR
,36,475000,0,0,0,2012,10000,C,,Masonry,,,,,,,,,,,,4708 Breckenridge Ct,Dallas,Dat Van Tran,,,TX,Breckenridge Ct,4708,,,75208,"15455 Dallas Pky, 400",Brett,Lewis,Addison,Lee & Associates,9729344000,TX,Dallas Pky,15455,,,75001,"18'0""",2875290,,,0.402754843,,20130316822,,None,348000,"JP Morgan Chase Bank, N.A.",,,0.402754843,,,,,,0.57,24829,,,,32.908163,,"5445 Caruth Haven Ln, 126",David,Rouble,Dallas,David Rouble Brokerage,2147329985,TX,Caruth Haven Ln,5445,,,75225,None,-96.698578,,28-AD,28,A,D,Dallas/Ft Worth,767,,,,,,,1,,,,,1,,,,7.87037E+11,,,15.3,,,,,,Y,763157.89,,,43.5,43.5,17.52,,,,10737 Presidential Dr,Dallas,Dallas,,TX,Presidential Dr,10737,,,75243,Industrial,,11/1/2013,,10/7/2013,12/12/2013,Research Complete,,,10/7/2013,435000,Confirmed,Sold,,,,,Distribution,10737 Presidential Dr,Dallas,"General Sign, Inc.",Jin Kim,8003462667,,,TX,Presidential Dr,10737,75243,10737 Presidential Dr,Dallas,"General Sign, Inc.",,8003462667,TX,Presidential Dr,10737,,,75243,10000,,2 Star,,Northeast Dallas Ind,GTK,NE Dallas/Garland Ind,Single,,,,"A source deemed reliable reported the subject property sold on 10/7/13 for $435,000. The property was on the market for two (2) years and in escrow for 60 days. No sale conditions were reported. The property was 100% occupied at the time of sale. The seller's motivation was retirement. The buyer's motivation was to be an owner/user instead of leasing and the 18' clear height.",,,10000,,,1978,IR
